10,5,1,4,4,5,3,11,1b
1,4,10,1,1,5,7,8,6c
9,1,1,10,2,10,4,2,6c
11,10,3,5,9,10,10,7,9e
1,1,10,1,10,5,4,11,5e
1,5,3,5,5,3,4,11,ae
5,10,10,1,7,4,9,11,1
4,1,5,5,1,11,11,1,6c
5,5,5,11,1,11,11,7,9e
1,3,5,1,11,0,8,9,6c
1,5,3,3,5,3,11,4,ae
1,1,3,1,5,2,5,3,9e
5,10,5,11,11,9,5,8,9e
4,4,1,3,1,3,5,11,6c
1,4,4,11,10,1,10,1,ae
1,5,4,11,3,5,0,0,ae
1,5,10,4,3,7,0,10,10a
9,1,1,4,11,11,1,11,1b
5,5,1,0,11,11,6,9,0d
3,0,3,5,0,7,9,7,0b
11,5,5,1,4,5,8,8,5e
11,9,3,3,0,9,6,5,6c
4,5,5,4,4,3,10,2,5e
1,0,10,2,3,3,4,9,9e
11,4,7,5,5,9,6,7,1
4,4,5,3,11,5,0,3,6c
11,1,4,11,3,6,0,8,ae
3,4,11,5,5,1,1,1,0d
1,4,1,7,5,9,4,4,10a
1,9,5,0,5,4,8,5,9e
5,11,9,4,1,1,7,4,6c
3,3,1,3,5,11,4,0,6c
5,4,9,10,5,3,4,8,6c
5,1,4,4,10,5,8,6,9e
5,5,5,4,4,3,0,8,1b
4,2,5,5,5,11,1,8,6c
